Order ID ,_  Customer ID ,_  SalesPerson ,_  Order Date ,_  Order Priority ,_  SKU ,_  Order Quantity ,_  Unit Sell Price ,_  Discount ,_  Shipping Amount ,_  Ship Mode ,_  Product Container ,_  Ship Date
40354 ,_  C591 ,_  Richard ,_  3/01/2014 ,_  High ,_  SKU352 ,_  29 ,_  5.58 ,_  0.03 ,_  2.99 ,_  Regular Air ,_  Small Box ,_  4/01/2014
40354 ,_  C591 ,_  John ,_  3/01/2014 ,_  High ,_  SKU235 ,_  4 ,_  212.6 ,_  0.09 ,_  52.2 ,_  Delivery Truck ,_  Jumbo Box ,_  4/01/2014
9637 ,_  C036 ,_  John ,_  3/01/2014 ,_  Low ,_  SKU989 ,_  12 ,_  43.22 ,_  0.08 ,_  16.71 ,_  Regular Air ,_  Small Box ,_  5/01/2014
9637 ,_  C036 ,_  Bob ,_  3/01/2014 ,_  Low ,_  SKU1128 ,_  49 ,_  574.74 ,_  0.05 ,_  24.49 ,_  Regular Air ,_  Large Box ,_  10/01/2014
9637 ,_  C036 ,_  Richard ,_  3/01/2014 ,_  Low ,_  SKU593 ,_  12 ,_  10.14 ,_  0.04 ,_  2.27 ,_  Regular Air ,_  Wrap Bag ,_  7/01/2014
7909 ,_  C023 ,_  Richard ,_  3/01/2014 ,_  High ,_  SKU766 ,_  29 ,_  4.26 ,_  0.03 ,_  1.2 ,_  Regular Air ,_  Wrap Bag ,_  4/01/2014
9762 ,_  C453 ,_  Bob ,_  3/01/2014 ,_  High ,_  SKU083 ,_  12 ,_  20.98 ,_  0.05 ,_  21.2 ,_  Regular Air ,_  Medium Box ,_  4/01/2014
11972 ,_  C042 ,_  John ,_  3/01/2014 ,_  Not Specified ,_  SKU1124 ,_  4 ,_  213.45 ,_  0 ,_  14.7 ,_  Delivery Truck ,_  Jumbo Drum ,_  5/01/2014
8710 ,_  C735 ,_  Bob ,_  4/01/2014 ,_  Critical ,_  SKU370 ,_  17 ,_  3.36 ,_  0.03 ,_  6.27 ,_  Regular Air ,_  Small Box ,_  5/01/2014
8710 ,_  C735 ,_  John ,_  4/01/2014 ,_  Critical ,_  SKU540 ,_  42 ,_  3.71 ,_  0.07 ,_  1.93 ,_  Express Air ,_  Wrap Bag ,_  6/01/2014
49730 ,_  C206 ,_  Bob ,_  4/01/2014 ,_  High ,_  SKU073 ,_  3 ,_  350.98 ,_  0.06 ,_  30 ,_  Delivery Truck ,_  Jumbo Drum ,_  5/01/2014
52386 ,_  C731 ,_  Richard ,_  5/01/2014 ,_  High ,_  SKU1092 ,_  6 ,_  120.97 ,_  0.08 ,_  26.3 ,_  Delivery Truck ,_  Jumbo Drum ,_  7/01/2014
1028 ,_  C507 ,_  Richard ,_  5/01/2014 ,_  High ,_  SKU1034 ,_  6 ,_  28.48 ,_  0.03 ,_  1.99 ,_  Regular Air ,_  Small Pack ,_  6/01/2014
1028 ,_  C507 ,_  Bob ,_  5/01/2014 ,_  High ,_  SKU1148 ,_  11 ,_  205.99 ,_  0.01 ,_  5.99 ,_  Regular Air ,_  Small Box ,_  7/01/2014
32418 ,_  C495 ,_  Bob ,_  5/01/2014 ,_  Not Specified ,_  SKU057 ,_  5 ,_  243.98 ,_  0.08 ,_  43.32 ,_  Delivery Truck ,_  Jumbo Drum ,_  6/01/2014
28451 ,_  C602 ,_  John ,_  5/01/2014 ,_  Critical ,_  SKU156 ,_  21 ,_  194.3 ,_  0.01 ,_  11.54 ,_  Regular Air ,_  Large Box ,_  7/01/2014
28451 ,_  C602 ,_  John ,_  5/01/2014 ,_  Critical ,_  SKU183 ,_  41 ,_  209.84 ,_  0.02 ,_  21.21 ,_  Regular Air ,_  Large Box ,_  6/01/2014
28451 ,_  C602 ,_  John ,_  5/01/2014 ,_  Critical ,_  SKU1123 ,_  33 ,_  145.45 ,_  0 ,_  17.85 ,_  Delivery Truck ,_  Jumbo Drum ,_  7/01/2014
57253 ,_  C199 ,_  Richard ,_  5/01/2014 ,_  Critical ,_  SKU065 ,_  43 ,_  1.81 ,_  0.08 ,_  0.75 ,_  Regular Air ,_  Jumbo Drum ,_  6/01/2014
57253 ,_  C199 ,_  Richard ,_  5/01/2014 ,_  Critical ,_  SKU054 ,_  29 ,_  20.98 ,_  0.06 ,_  53.03 ,_  Delivery Truck ,_  Jumbo Drum ,_  7/01/2014
57253 ,_  C199 ,_  Richard ,_  5/01/2014 ,_  Critical ,_  SKU202 ,_  48 ,_  279.48 ,_  0.07 ,_  35 ,_  Regular Air ,_  Large Box ,_  5/01/2014
57253 ,_  C199 ,_  Richard ,_  5/01/2014 ,_  Critical ,_  SKU251 ,_  49 ,_  4.91 ,_  0.08 ,_  5.68 ,_  Regular Air ,_  Jumbo Box ,_  6/01/2014
57253 ,_  C199 ,_  Bob ,_  5/01/2014 ,_  Critical ,_  SKU1143 ,_  25 ,_  125.99 ,_  0.04 ,_  5.26 ,_  Regular Air ,_  Small Box ,_  5/01/2014
290 ,_  C241 ,_  John ,_  5/01/2014 ,_  Not Specified ,_  SKU578 ,_  24 ,_  7.64 ,_  0.05 ,_  5.83 ,_  Regular Air ,_  Wrap Bag ,_  6/01/2014
25601 ,_  C780 ,_  Richard ,_  5/01/2014 ,_  Medium ,_  SKU937 ,_  43 ,_  5.98 ,_  0.09 ,_  4.69 ,_  Regular Air ,_  Small Box ,_  6/01/2014
59232 ,_  C648 ,_  Bob ,_  5/01/2014 ,_  High ,_  SKU567 ,_  23 ,_  30.98 ,_  0 ,_  5.76 ,_  Regular Air ,_  Small Box ,_  7/01/2014
23488 ,_  C408 ,_  John ,_  6/01/2014 ,_  Critical ,_  SKU022 ,_  30 ,_  880.98 ,_  0.04 ,_  44.55 ,_  Delivery Truck ,_  Jumbo Box ,_  7/01/2014
48226 ,_  C177 ,_  Richard ,_  6/01/2014 ,_  Low ,_  SKU008 ,_  23 ,_  100.98 ,_  0.02 ,_  35.84 ,_  Delivery Truck ,_  Jumbo Box ,_  6/01/2014
6854 ,_  C784 ,_  Richard ,_  6/01/2014 ,_  Medium ,_  SKU412 ,_  1 ,_  7.68 ,_  0.07 ,_  6.16 ,_  Express Air ,_  Small Box ,_  8/01/2014
6854 ,_  C784 ,_  Bob ,_  6/01/2014 ,_  Medium ,_  SKU169 ,_  19 ,_  6.64 ,_  0.05 ,_  4.95 ,_  Express Air ,_  Small Pack ,_  8/01/2014
14274 ,_  C181 ,_  Richard ,_  6/01/2014 ,_  Not Specified ,_  SKU068 ,_  23 ,_  150.98 ,_  0.01 ,_  30 ,_  Delivery Truck ,_  Jumbo Drum ,_  8/01/2014
14274 ,_  C181 ,_  Richard ,_  6/01/2014 ,_  Not Specified ,_  SKU906 ,_  46 ,_  28.28 ,_  0.01 ,_  13.99 ,_  Express Air ,_  Medium Box ,_  8/01/2014
14274 ,_  C181 ,_  John ,_  6/01/2014 ,_  Not Specified ,_  SKU1194 ,_  2 ,_  35.99 ,_  0.03 ,_  1.1 ,_  Regular Air ,_  Small Box ,_  7/01/2014
16770 ,_  C555 ,_  Bob ,_  6/01/2014 ,_  Critical ,_  SKU821 ,_  17 ,_  2.1 ,_  0.03 ,_  0.7 ,_  Regular Air ,_  Wrap Bag ,_  7/01/2014
16961 ,_  C771 ,_  John ,_  6/01/2014 ,_  Not Specified ,_  SKU978 ,_  27 ,_  1.7 ,_  0.06 ,_  1.99 ,_  Regular Air ,_  Small Pack ,_  7/01/2014
16961 ,_  C771 ,_  John ,_  6/01/2014 ,_  Not Specified ,_  SKU629 ,_  34 ,_  30.98 ,_  0.01 ,_  5.09 ,_  Regular Air ,_  Small Box ,_  8/01/2014
41094 ,_  C493 ,_  Richard ,_  6/01/2014 ,_  Low ,_  SKU727 ,_  46 ,_  6.48 ,_  0.09 ,_  8.73 ,_  Regular Air ,_  Small Box ,_  8/01/2014
41094 ,_  C493 ,_  John ,_  6/01/2014 ,_  Low ,_  SKU963 ,_  6 ,_  20.34 ,_  0.05 ,_  35 ,_  Regular Air ,_  Large Box ,_  10/01/2014
23490 ,_  C406 ,_  Bob ,_  6/01/2014 ,_  High ,_  SKU801 ,_  29 ,_  3.28 ,_  0.03 ,_  3.97 ,_  Regular Air ,_  Wrap Bag ,_  8/01/2014
32295 ,_  C602 ,_  Richard ,_  7/01/2014 ,_  High ,_  SKU1209 ,_  11 ,_  65.99 ,_  0.07 ,_  5.99 ,_  Regular Air ,_  Small Box ,_  8/01/2014
18405 ,_  C302 ,_  Richard ,_  7/01/2014 ,_  Medium ,_  SKU433 ,_  30 ,_  20.98 ,_  0.09 ,_  8.83 ,_  Express Air ,_  Small Box ,_  9/01/2014
18405 ,_  C302 ,_  Bob ,_  7/01/2014 ,_  Medium ,_  SKU1022 ,_  2 ,_  73.98 ,_  0.03 ,_  14.52 ,_  Regular Air ,_  Small Box ,_  10/01/2014
40704 ,_  C411 ,_  Richard ,_  7/01/2014 ,_  Low ,_  SKU781 ,_  6 ,_  1.76 ,_  0.01 ,_  0.7 ,_  Regular Air ,_  Wrap Bag ,_  12/01/2014
3073 ,_  C359 ,_  Richard ,_  7/01/2014 ,_  Medium ,_  SKU359 ,_  3 ,_  1.98 ,_  0.05 ,_  4.77 ,_  Regular Air ,_  Small Box ,_  8/01/2014
3073 ,_  C359 ,_  Richard ,_  7/01/2014 ,_  Medium ,_  SKU1074 ,_  3 ,_  699.99 ,_  0.07 ,_  24.49 ,_  Express Air ,_  Large Box ,_  8/01/2014
3073 ,_  C359 ,_  Bob ,_  7/01/2014 ,_  Medium ,_  SKU1130 ,_  7 ,_  6783.02 ,_  0.07 ,_  24.49 ,_  Regular Air ,_  Large Box ,_  8/01/2014
33923 ,_  C084 ,_  Richard ,_  7/01/2014 ,_  Low ,_  SKU1209 ,_  34 ,_  65.99 ,_  0.05 ,_  5.99 ,_  Regular Air ,_  Small Box ,_  11/01/2014
43909 ,_  C148 ,_  Bob ,_  7/01/2014 ,_  High ,_  SKU399 ,_  46 ,_  15.99 ,_  0.08 ,_  13.18 ,_  Regular Air ,_  Small Box ,_  8/01/2014
4193 ,_  C673 ,_  John ,_  8/01/2014 ,_  High ,_  SKU513 ,_  16 ,_  4.13 ,_  0.07 ,_  0.99 ,_  Regular Air ,_  Small Box ,_  8/01/2014
4193 ,_  C673 ,_  John ,_  8/01/2014 ,_  High ,_  SKU165 ,_  3 ,_  22.72 ,_  0.03 ,_  8.99 ,_  Regular Air ,_  Small Pack ,_  8/01/2014
30083 ,_  C482 ,_  Bob ,_  8/01/2014 ,_  Not Specified ,_  SKU261 ,_  23 ,_  14.56 ,_  0.07 ,_  3.5 ,_  Regular Air ,_  Small Box ,_  9/01/2014
7203 ,_  C662 ,_  Richard ,_  8/01/2014 ,_  High ,_  SKU391 ,_  25 ,_  896.99 ,_  0.03 ,_  19.99 ,_  Regular Air ,_  Small Box ,_  10/01/2014
18561 ,_  C398 ,_  Richard ,_  9/01/2014 ,_  Not Specified ,_  SKU501 ,_  9 ,_  4.13 ,_  0.02 ,_  6.89 ,_  Regular Air ,_  Small Box ,_  10/01/2014
40097 ,_  C584 ,_  Richard ,_  9/01/2014 ,_  Low ,_  SKU734 ,_  47 ,_  2.6 ,_  0.1 ,_  2.4 ,_  Regular Air ,_  Wrap Bag ,_  14/01/2014
31715 ,_  C498 ,_  Bob ,_  9/01/2014 ,_  Not Specified ,_  SKU799 ,_  24 ,_  2.78 ,_  0.09 ,_  0.97 ,_  Regular Air ,_  Wrap Bag ,_  11/01/2014
58343 ,_  C794 ,_  John ,_  9/01/2014 ,_  Not Specified ,_  SKU835 ,_  39 ,_  3.29 ,_  0.07 ,_  1.35 ,_  Regular Air ,_  Wrap Bag ,_  11/01/2014
47138 ,_  C083 ,_  Bob ,_  9/01/2014 ,_  Low ,_  SKU1225 ,_  1 ,_  125.99 ,_  0.04 ,_  8.99 ,_  Regular Air ,_  Small Box ,_  16/01/2014
8576 ,_  C188 ,_  Bob ,_  9/01/2014 ,_  High ,_  SKU750 ,_  43 ,_  11.66 ,_  0 ,_  8.99 ,_  Express Air ,_  Small Pack ,_  11/01/2014
31715 ,_  C498 ,_  John ,_  9/01/2014 ,_  Not Specified ,_  SKU338 ,_  11 ,_  5.38 ,_  0.01 ,_  7.57 ,_  Regular Air ,_  Small Box ,_  10/01/2014
31715 ,_  C498 ,_  Richard ,_  9/01/2014 ,_  Not Specified ,_  SKU797 ,_  44 ,_  3.28 ,_  0.05 ,_  3.97 ,_  Regular Air ,_  Wrap Bag ,_  9/01/2014
55367 ,_  C450 ,_  John ,_  10/01/2014 ,_  Critical ,_  SKU012 ,_  31 ,_  70.98 ,_  0.05 ,_  46.74 ,_  Delivery Truck ,_  Jumbo Box ,_  11/01/2014
55367 ,_  C450 ,_  John ,_  10/01/2014 ,_  Critical ,_  SKU779 ,_  48 ,_  11.55 ,_  0.05 ,_  2.36 ,_  Regular Air ,_  Wrap Bag ,_  12/01/2014
31553 ,_  C692 ,_  Bob ,_  10/01/2014 ,_  Critical ,_  SKU481 ,_  32 ,_  162.93 ,_  0.09 ,_  19.99 ,_  Regular Air ,_  Small Box ,_  12/01/2014
28290 ,_  C489 ,_  Bob ,_  10/01/2014 ,_  Low ,_  SKU988 ,_  43 ,_  30.42 ,_  0.05 ,_  8.65 ,_  Express Air ,_  Small Box ,_  14/01/2014
28290 ,_  C489 ,_  Richard ,_  10/01/2014 ,_  Low ,_  SKU923 ,_  3 ,_  161.55 ,_  0.01 ,_  19.99 ,_  Express Air ,_  Small Box ,_  12/01/2014
14596 ,_  C201 ,_  Richard ,_  10/01/2014 ,_  Critical ,_  SKU122 ,_  24 ,_  8.34 ,_  0.01 ,_  0.96 ,_  Regular Air ,_  Wrap Bag ,_  12/01/2014
14596 ,_  C201 ,_  Richard ,_  10/01/2014 ,_  Critical ,_  SKU797 ,_  19 ,_  3.28 ,_  0.06 ,_  3.97 ,_  Regular Air ,_  Wrap Bag ,_  11/01/2014
33988 ,_  C642 ,_  Bob ,_  10/01/2014 ,_  Medium ,_  SKU1012 ,_  30 ,_  5.02 ,_  0 ,_  5.14 ,_  Regular Air ,_  Small Pack ,_  11/01/2014
28999 ,_  C307 ,_  John ,_  10/01/2014 ,_  High ,_  SKU1016 ,_  34 ,_  33.98 ,_  0.02 ,_  1.99 ,_  Regular Air ,_  Small Pack ,_  11/01/2014
20037 ,_  C539 ,_  Bob ,_  10/01/2014 ,_  Low ,_  SKU120 ,_  35 ,_  29.18 ,_  0.02 ,_  8.55 ,_  Regular Air ,_  Small Box ,_  15/01/2014
20037 ,_  C539 ,_  Richard ,_  10/01/2014 ,_  Low ,_  SKU1125 ,_  49 ,_  297.64 ,_  0.03 ,_  14.7 ,_  Delivery Truck ,_  Jumbo Drum ,_  15/01/2014
44391 ,_  C042 ,_  John ,_  10/01/2014 ,_  Not Specified ,_  SKU705 ,_  16 ,_  6.48 ,_  0.02 ,_  9.17 ,_  Regular Air ,_  Small Box ,_  11/01/2014
19655 ,_  C011 ,_  John ,_  11/01/2014 ,_  High ,_  SKU1063 ,_  31 ,_  39.24 ,_  0.06 ,_  1.99 ,_  Regular Air ,_  Small Pack ,_  12/01/2014
33797 ,_  C101 ,_  Richard ,_  11/01/2014 ,_  Not Specified ,_  SKU1125 ,_  20 ,_  297.64 ,_  0.08 ,_  14.7 ,_  Delivery Truck ,_  Jumbo Drum ,_  11/01/2014
33797 ,_  C101 ,_  Richard ,_  11/01/2014 ,_  Not Specified ,_  SKU209 ,_  44 ,_  12.99 ,_  0.02 ,_  14.37 ,_  Regular Air ,_  Large Box ,_  12/01/2014
33797 ,_  C101 ,_  John ,_  11/01/2014 ,_  Not Specified ,_  SKU300 ,_  18 ,_  14.42 ,_  0.06 ,_  6.75 ,_  Regular Air ,_  Medium Box ,_  12/01/2014
33797 ,_  C101 ,_  Bob ,_  11/01/2014 ,_  Not Specified ,_  SKU137 ,_  29 ,_  4.14 ,_  0.05 ,_  6.6 ,_  Express Air ,_  Small Box ,_  13/01/2014
33797 ,_  C101 ,_  Bob ,_  11/01/2014 ,_  Not Specified ,_  SKU612 ,_  18 ,_  11.34 ,_  0.03 ,_  5.01 ,_  Regular Air ,_  Small Box ,_  11/01/2014
21830 ,_  C035 ,_  Richard ,_  11/01/2014 ,_  Low ,_  SKU1116 ,_  19 ,_  399.98 ,_  0.08 ,_  12.06 ,_  Delivery Truck ,_  Jumbo Box ,_  18/01/2014
37862 ,_  C320 ,_  Richard ,_  12/01/2014 ,_  Not Specified ,_  SKU273 ,_  27 ,_  59.98 ,_  0.01 ,_  3.99 ,_  Regular Air ,_  Small Box ,_  15/01/2014
43362 ,_  C637 ,_  John ,_  12/01/2014 ,_  Critical ,_  SKU073 ,_  45 ,_  350.98 ,_  0.03 ,_  30 ,_  Delivery Truck ,_  Jumbo Drum ,_  15/01/2014
43362 ,_  C637 ,_  Richard ,_  12/01/2014 ,_  Critical ,_  SKU812 ,_  33 ,_  1.68 ,_  0.04 ,_  1 ,_  Regular Air ,_  Wrap Bag ,_  14/01/2014
20549 ,_  C167 ,_  Bob ,_  12/01/2014 ,_  Not Specified ,_  SKU922 ,_  40 ,_  27.75 ,_  0.09 ,_  19.99 ,_  Regular Air ,_  Small Box ,_  13/01/2014
27813 ,_  C475 ,_  Richard ,_  12/01/2014 ,_  Medium ,_  SKU1054 ,_  10 ,_  40.98 ,_  0.1 ,_  6.5 ,_  Regular Air ,_  Small Box ,_  14/01/2014
7461 ,_  C315 ,_  John ,_  12/01/2014 ,_  Low ,_  SKU045 ,_  12 ,_  350.99 ,_  0.05 ,_  39 ,_  Delivery Truck ,_  Jumbo Drum ,_  14/01/2014
7461 ,_  C315 ,_  Bob ,_  12/01/2014 ,_  Low ,_  SKU464 ,_  28 ,_  8.74 ,_  0 ,_  1.39 ,_  Regular Air ,_  Small Box ,_  16/01/2014
7461 ,_  C315 ,_  John ,_  12/01/2014 ,_  Low ,_  SKU845 ,_  44 ,_  1.98 ,_  0.02 ,_  0.7 ,_  Regular Air ,_  Wrap Bag ,_  16/01/2014
51623 ,_  C537 ,_  Richard ,_  13/01/2014 ,_  Critical ,_  SKU152 ,_  17 ,_  2.08 ,_  0.06 ,_  5.33 ,_  Regular Air ,_  Small Box ,_  13/01/2014
25541 ,_  C545 ,_  Richard ,_  13/01/2014 ,_  Low ,_  SKU631 ,_  50 ,_  5.98 ,_  0.07 ,_  5.79 ,_  Regular Air ,_  Small Box ,_  15/01/2014
13602 ,_  C112 ,_  Bob ,_  13/01/2014 ,_  Low ,_  SKU1123 ,_  3 ,_  145.45 ,_  0.03 ,_  17.85 ,_  Delivery Truck ,_  Jumbo Drum ,_  18/01/2014
13602 ,_  C112 ,_  John ,_  13/01/2014 ,_  Low ,_  SKU638 ,_  13 ,_  48.04 ,_  0.02 ,_  5.09 ,_  Regular Air ,_  Small Box ,_  13/01/2014
34691 ,_  C174 ,_  John ,_  14/01/2014 ,_  Critical ,_  SKU309 ,_  27 ,_  7.77 ,_  0.08 ,_  9.23 ,_  Regular Air ,_  Small Box ,_  16/01/2014
34691 ,_  C174 ,_  John ,_  14/01/2014 ,_  Critical ,_  SKU1115 ,_  23 ,_  306.14 ,_  0.02 ,_  26.53 ,_  Delivery Truck ,_  Jumbo Drum ,_  14/01/2014
34691 ,_  C174 ,_  Bob ,_  14/01/2014 ,_  Critical ,_  SKU659 ,_  13 ,_  18.97 ,_  0.1 ,_  9.54 ,_  Express Air ,_  Small Box ,_  16/01/2014
30567 ,_  C758 ,_  Richard ,_  14/01/2014 ,_  Not Specified ,_  SKU258 ,_  14 ,_  208.16 ,_  0.1 ,_  68.02 ,_  Delivery Truck ,_  Jumbo Drum ,_  14/01/2014
30567 ,_  C758 ,_  Bob ,_  14/01/2014 ,_  Not Specified ,_  SKU497 ,_  8 ,_  90.48 ,_  0.07 ,_  19.99 ,_  Regular Air ,_  Small Box ,_  15/01/2014
30567 ,_  C758 ,_  Bob ,_  14/01/2014 ,_  Not Specified ,_  SKU111 ,_  3 ,_  9.48 ,_  0.01 ,_  7.29 ,_  Express Air ,_  Small Pack ,_  16/01/2014
30567 ,_  C758 ,_  Richard ,_  14/01/2014 ,_  Not Specified ,_  SKU796 ,_  14 ,_  4.28 ,_  0.02 ,_  0.94 ,_  Regular Air ,_  Wrap Bag ,_  15/01/2014
8325 ,_  C367 ,_  Bob ,_  14/01/2014 ,_  Critical ,_  SKU1108 ,_  21 ,_  115.99 ,_  0.08 ,_  56.14 ,_  Delivery Truck ,_  Jumbo Drum ,_  16/01/2014
8325 ,_  C367 ,_  John ,_  14/01/2014 ,_  Critical ,_  SKU796 ,_  27 ,_  4.28 ,_  0.08 ,_  0.94 ,_  Regular Air ,_  Wrap Bag ,_  17/01/2014
43911 ,_  C736 ,_  John ,_  14/01/2014 ,_  Medium ,_  SKU202 ,_  29 ,_  19.99 ,_  0.06 ,_  11.17 ,_  Regular Air ,_  Large Box ,_  14/01/2014
43911 ,_  C736 ,_  Richard ,_  14/01/2014 ,_  Medium ,_  SKU1122 ,_  36 ,_  264.98 ,_  0 ,_  17.86 ,_  Delivery Truck ,_  Jumbo Drum ,_  15/01/2014
43911 ,_  C736 ,_  Richard ,_  14/01/2014 ,_  Medium ,_  SKU053 ,_  23 ,_  320.98 ,_  0.06 ,_  58.95 ,_  Delivery Truck ,_  Jumbo Drum ,_  16/01/2014
6884 ,_  C706 ,_  Richard ,_  15/01/2014 ,_  Low ,_  SKU564 ,_  41 ,_  4.98 ,_  0.01 ,_  4.75 ,_  Regular Air ,_  Small Box ,_  20/01/2014
6884 ,_  C706 ,_  John ,_  15/01/2014 ,_  Low ,_  SKU596 ,_  47 ,_  6.35 ,_  0.04 ,_  1.02 ,_  Regular Air ,_  Wrap Bag ,_  20/01/2014
37729 ,_  C308 ,_  Richard ,_  15/01/2014 ,_  Not Specified ,_  SKU358 ,_  48 ,_  8.6 ,_  0 ,_  6.19 ,_  Regular Air ,_  Small Box ,_  15/01/2014
48773 ,_  C030 ,_  Bob ,_  15/01/2014 ,_  Medium ,_  SKU606 ,_  7 ,_  7.04 ,_  0.06 ,_  2.17 ,_  Regular Air ,_  Wrap Bag ,_  17/01/2014
12676 ,_  C366 ,_  John ,_  15/01/2014 ,_  High ,_  SKU087 ,_  25 ,_  8.09 ,_  0.08 ,_  7.96 ,_  Express Air ,_  Small Box ,_  16/01/2014
22243 ,_  C031 ,_  John ,_  15/01/2014 ,_  Critical ,_  SKU795 ,_  9 ,_  2.88 ,_  0.09 ,_  0.7 ,_  Regular Air ,_  Wrap Bag ,_  16/01/2014
31781 ,_  C733 ,_  Bob ,_  16/01/2014 ,_  Medium ,_  SKU379 ,_  46 ,_  5.81 ,_  0.1 ,_  8.49 ,_  Regular Air ,_  Small Box ,_  17/01/2014
31781 ,_  C733 ,_  Richard ,_  16/01/2014 ,_  Medium ,_  SKU842 ,_  41 ,_  1.81 ,_  0.03 ,_  0.75 ,_  Regular Air ,_  Wrap Bag ,_  17/01/2014
2370 ,_  C677 ,_  Bob ,_  16/01/2014 ,_  Critical ,_  SKU194 ,_  6 ,_  110.98 ,_  0.02 ,_  13.99 ,_  Regular Air ,_  Medium Box ,_  18/01/2014
2370 ,_  C677 ,_  Richard ,_  16/01/2014 ,_  Critical ,_  SKU597 ,_  30 ,_  8.01 ,_  0.01 ,_  2.87 ,_  Regular Air ,_  Wrap Bag ,_  18/01/2014
39173 ,_  C358 ,_  Richard ,_  16/01/2014 ,_  Critical ,_  SKU862 ,_  36 ,_  2.18 ,_  0.09 ,_  0.78 ,_  Regular Air ,_  Wrap Bag ,_  18/01/2014
39173 ,_  C358 ,_  Bob ,_  16/01/2014 ,_  Critical ,_  SKU227 ,_  2 ,_  179.29 ,_  0.05 ,_  29.21 ,_  Delivery Truck ,_  Jumbo Box ,_  18/01/2014
30915 ,_  C793 ,_  John ,_  16/01/2014 ,_  Low ,_  SKU813 ,_  20 ,_  2.98 ,_  0.04 ,_  2.03 ,_  Express Air ,_  Wrap Bag ,_  16/01/2014
30915 ,_  C793 ,_  Bob ,_  16/01/2014 ,_  Low ,_  SKU1225 ,_  25 ,_  125.99 ,_  0.01 ,_  8.99 ,_  Regular Air ,_  Small Box ,_  21/01/2014
49541 ,_  C384 ,_  Richard ,_  16/01/2014 ,_  Medium ,_  SKU917 ,_  35 ,_  13.43 ,_  0 ,_  5.5 ,_  Regular Air ,_  Small Box ,_  17/01/2014
22147 ,_  C152 ,_  Richard ,_  16/01/2014 ,_  Low ,_  SKU165 ,_  37 ,_  22.72 ,_  0.04 ,_  8.99 ,_  Regular Air ,_  Small Pack ,_  20/01/2014
12771 ,_  C131 ,_  John ,_  17/01/2014 ,_  Critical ,_  SKU502 ,_  40 ,_  30.53 ,_  0.08 ,_  19.99 ,_  Regular Air ,_  Small Box ,_  17/01/2014
12771 ,_  C131 ,_  Bob ,_  17/01/2014 ,_  Critical ,_  SKU788 ,_  46 ,_  1.68 ,_  0.01 ,_  1.57 ,_  Regular Air ,_  Wrap Bag ,_  19/01/2014
46884 ,_  C599 ,_  Richard ,_  17/01/2014 ,_  Medium ,_  SKU779 ,_  25 ,_  11.55 ,_  0.1 ,_  2.36 ,_  Regular Air ,_  Wrap Bag ,_  18/01/2014
1921 ,_  C084 ,_  Richard ,_  17/01/2014 ,_  Medium ,_  SKU324 ,_  24 ,_  328.14 ,_  0.05 ,_  91.05 ,_  Delivery Truck ,_  Jumbo Drum ,_  19/01/2014
