Order ID  $§_44_ Customer ID  $§_44_ SalesPerson  $§_44_ Order Date  $§_44_ Order Priority  $§_44_ SKU  $§_44_ Order Quantity  $§_44_ Unit Sell Price  $§_44_ Discount  $§_44_ Shipping Amount  $§_44_ Ship Mode  $§_44_ Product Container  $§_44_ Ship Date
7107  $§_44_ C715  $§_44_ Richard  $§_44_ 3/01/2020  $§_44_ Not Specified  $§_44_ SKU124  $§_44_ 3  $§_44_ 54.2  $§_44_ 0.02  $§_44_ 11.1  $§_44_ Regular Air  $§_44_ Medium Box  $§_44_ 3/01/2020
7107  $§_44_ C715  $§_44_ John  $§_44_ 3/01/2020  $§_44_ Not Specified  $§_44_ SKU580  $§_44_ 3  $§_44_ 37.94  $§_44_ 0.06  $§_44_ 5.08  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 5/01/2020
7107  $§_44_ C715  $§_44_ Bob  $§_44_ 3/01/2020  $§_44_ Not Specified  $§_44_ SKU943  $§_44_ 32  $§_44_ 55.29  $§_44_ 0.1  $§_44_ 5.08  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 4/01/2020
39619  $§_44_ C442  $§_44_ John  $§_44_ 3/01/2020  $§_44_ Low  $§_44_ SKU155  $§_44_ 15  $§_44_ 49.34  $§_44_ 0.02  $§_44_ 10.25  $§_44_ Regular Air  $§_44_ Large Box  $§_44_ 7/01/2020
31555  $§_44_ C374  $§_44_ Bob  $§_44_ 3/01/2020  $§_44_ Critical  $§_44_ SKU180  $§_44_ 38  $§_44_ 88.84  $§_44_ 0  $§_44_ 20.79  $§_44_ Regular Air  $§_44_ Large Box  $§_44_ 3/01/2020
31555  $§_44_ C374  $§_44_ Bob  $§_44_ 3/01/2020  $§_44_ Critical  $§_44_ SKU1114  $§_44_ 5  $§_44_ 90.97  $§_44_ 0.02  $§_44_ 28  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 6/01/2020
44646  $§_44_ C501  $§_44_ Bob  $§_44_ 3/01/2020  $§_44_ Low  $§_44_ SKU969  $§_44_ 47  $§_44_ 279.48  $§_44_ 0.08  $§_44_ 35  $§_44_ Regular Air  $§_44_ Large Box  $§_44_ 7/01/2020
55011  $§_44_ C017  $§_44_ John  $§_44_ 3/01/2020  $§_44_ Critical  $§_44_ SKU775  $§_44_ 48  $§_44_ 9.85  $§_44_ 0.09  $§_44_ 4.82  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 4/01/2020
55011  $§_44_ C017  $§_44_ John  $§_44_ 3/01/2020  $§_44_ Critical  $§_44_ SKU810  $§_44_ 18  $§_44_ 2.94  $§_44_ 0.01  $§_44_ 0.81  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 4/01/2020
10432  $§_44_ C708  $§_44_ John  $§_44_ 4/01/2020  $§_44_ Low  $§_44_ SKU1049  $§_44_ 13  $§_44_ 179.99  $§_44_ 0.08  $§_44_ 19.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
13444  $§_44_ C606  $§_44_ Bob  $§_44_ 4/01/2020  $§_44_ High  $§_44_ SKU611  $§_44_ 33  $§_44_ 4.76  $§_44_ 0.06  $§_44_ 0.88  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 7/01/2020
5601  $§_44_ C295  $§_44_ John  $§_44_ 4/01/2020  $§_44_ High  $§_44_ SKU092  $§_44_ 10  $§_44_ 12.22  $§_44_ 0.1  $§_44_ 2.85  $§_44_ Regular Air  $§_44_ Small Pack  $§_44_ 5/01/2020
52516  $§_44_ C684  $§_44_ John  $§_44_ 4/01/2020  $§_44_ High  $§_44_ SKU1103  $§_44_ 50  $§_44_ 119.99  $§_44_ 0.08  $§_44_ 56.14  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 4/01/2020
52516  $§_44_ C684  $§_44_ John  $§_44_ 4/01/2020  $§_44_ High  $§_44_ SKU871  $§_44_ 19  $§_44_ 10.23  $§_44_ 0.08  $§_44_ 4.68  $§_44_ Express Air  $§_44_ Small Pack  $§_44_ 7/01/2020
25442  $§_44_ C304  $§_44_ Bob  $§_44_ 4/01/2020  $§_44_ High  $§_44_ SKU619  $§_44_ 32  $§_44_ 55.48  $§_44_ 0.08  $§_44_ 4.85  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 6/01/2020
16036  $§_44_ C322  $§_44_ John  $§_44_ 4/01/2020  $§_44_ Medium  $§_44_ SKU894  $§_44_ 28  $§_44_ 80.98  $§_44_ 0.09  $§_44_ 35  $§_44_ Regular Air  $§_44_ Large Box  $§_44_ 5/01/2020
25442  $§_44_ C304  $§_44_ John  $§_44_ 4/01/2020  $§_44_ High  $§_44_ SKU612  $§_44_ 40  $§_44_ 11.34  $§_44_ 0.02  $§_44_ 5.01  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 6/01/2020
16036  $§_44_ C322  $§_44_ Richard  $§_44_ 4/01/2020  $§_44_ Medium  $§_44_ SKU379  $§_44_ 28  $§_44_ 5.81  $§_44_ 0.05  $§_44_ 8.49  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 6/01/2020
16036  $§_44_ C322  $§_44_ Bob  $§_44_ 4/01/2020  $§_44_ Medium  $§_44_ SKU1216  $§_44_ 10  $§_44_ 155.99  $§_44_ 0.07  $§_44_ 8.08  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 5/01/2020
16036  $§_44_ C322  $§_44_ Richard  $§_44_ 4/01/2020  $§_44_ Medium  $§_44_ SKU940  $§_44_ 33  $§_44_ 17.7  $§_44_ 0.1  $§_44_ 9.47  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 5/01/2020
4800  $§_44_ C517  $§_44_ Richard  $§_44_ 4/01/2020  $§_44_ Low  $§_44_ SKU382  $§_44_ 4  $§_44_ 8.04  $§_44_ 0.05  $§_44_ 8.94  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
4800  $§_44_ C517  $§_44_ Bob  $§_44_ 4/01/2020  $§_44_ Low  $§_44_ SKU515  $§_44_ 17  $§_44_ 4.91  $§_44_ 0.01  $§_44_ 0.5  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
4800  $§_44_ C517  $§_44_ John  $§_44_ 4/01/2020  $§_44_ Low  $§_44_ SKU779  $§_44_ 7  $§_44_ 11.55  $§_44_ 0.07  $§_44_ 2.36  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 9/01/2020
56645  $§_44_ C323  $§_44_ John  $§_44_ 5/01/2020  $§_44_ Low  $§_44_ SKU680  $§_44_ 46  $§_44_ 30.98  $§_44_ 0.02  $§_44_ 17.08  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 5/01/2020
56645  $§_44_ C323  $§_44_ Richard  $§_44_ 5/01/2020  $§_44_ Low  $§_44_ SKU231  $§_44_ 42  $§_44_ 348.21  $§_44_ 0.07  $§_44_ 40.19  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 7/01/2020
57698  $§_44_ C591  $§_44_ John  $§_44_ 5/01/2020  $§_44_ Critical  $§_44_ SKU309  $§_44_ 10  $§_44_ 7.77  $§_44_ 0.05  $§_44_ 9.23  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 6/01/2020
57698  $§_44_ C591  $§_44_ Bob  $§_44_ 5/01/2020  $§_44_ Critical  $§_44_ SKU314  $§_44_ 13  $§_44_ 363.25  $§_44_ 0.04  $§_44_ 19.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 7/01/2020
54115  $§_44_ C111  $§_44_ Richard  $§_44_ 6/01/2020  $§_44_ Low  $§_44_ SKU284  $§_44_ 24  $§_44_ 4.37  $§_44_ 0.01  $§_44_ 5.15  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
54115  $§_44_ C111  $§_44_ Bob  $§_44_ 6/01/2020  $§_44_ Low  $§_44_ SKU369  $§_44_ 39  $§_44_ 4.98  $§_44_ 0.03  $§_44_ 4.95  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
45284  $§_44_ C650  $§_44_ Bob  $§_44_ 6/01/2020  $§_44_ High  $§_44_ SKU750  $§_44_ 7  $§_44_ 11.66  $§_44_ 0  $§_44_ 8.99  $§_44_ Regular Air  $§_44_ Small Pack  $§_44_ 7/01/2020
5409  $§_44_ C235  $§_44_ Richard  $§_44_ 7/01/2020  $§_44_ Low  $§_44_ SKU600  $§_44_ 11  $§_44_ 3.98  $§_44_ 0.01  $§_44_ 2.97  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 12/01/2020
14726  $§_44_ C623  $§_44_ Richard  $§_44_ 7/01/2020  $§_44_ Low  $§_44_ SKU986  $§_44_ 15  $§_44_ 20.95  $§_44_ 0.07  $§_44_ 4  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 7/01/2020
26818  $§_44_ C234  $§_44_ Bob  $§_44_ 7/01/2020  $§_44_ Not Specified  $§_44_ SKU406  $§_44_ 23  $§_44_ 8.85  $§_44_ 0.05  $§_44_ 5.6  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 8/01/2020
26818  $§_44_ C234  $§_44_ Bob  $§_44_ 7/01/2020  $§_44_ Not Specified  $§_44_ SKU326  $§_44_ 5  $§_44_ 11.97  $§_44_ 0.01  $§_44_ 4.98  $§_44_ Express Air  $§_44_ Small Box  $§_44_ 9/01/2020
26818  $§_44_ C234  $§_44_ Richard  $§_44_ 7/01/2020  $§_44_ Not Specified  $§_44_ SKU344  $§_44_ 36  $§_44_ 7.3  $§_44_ 0.1  $§_44_ 7.72  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 8/01/2020
42886  $§_44_ C449  $§_44_ John  $§_44_ 7/01/2020  $§_44_ Medium  $§_44_ SKU527  $§_44_ 42  $§_44_ 3.75  $§_44_ 0.02  $§_44_ 0.5  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 9/01/2020
59456  $§_44_ C414  $§_44_ Richard  $§_44_ 7/01/2020  $§_44_ Low  $§_44_ SKU310  $§_44_ 30  $§_44_ 4.48  $§_44_ 0.06  $§_44_ 49  $§_44_ Regular Air  $§_44_ Large Box  $§_44_ 7/01/2020
7042  $§_44_ C216  $§_44_ Bob  $§_44_ 7/01/2020  $§_44_ Medium  $§_44_ SKU233  $§_44_ 4  $§_44_ 376.13  $§_44_ 0.07  $§_44_ 85.63  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 9/01/2020
54307  $§_44_ C458  $§_44_ Richard  $§_44_ 7/01/2020  $§_44_ High  $§_44_ SKU336  $§_44_ 41  $§_44_ 4.91  $§_44_ 0.08  $§_44_ 5.68  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 8/01/2020
54307  $§_44_ C458  $§_44_ John  $§_44_ 7/01/2020  $§_44_ High  $§_44_ SKU210  $§_44_ 15  $§_44_ 14.89  $§_44_ 0.01  $§_44_ 13.56  $§_44_ Regular Air  $§_44_ Large Box  $§_44_ 8/01/2020
54307  $§_44_ C458  $§_44_ Bob  $§_44_ 7/01/2020  $§_44_ High  $§_44_ SKU242  $§_44_ 14  $§_44_ 280.98  $§_44_ 0.04  $§_44_ 35.67  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 8/01/2020
14820  $§_44_ C526  $§_44_ Richard  $§_44_ 8/01/2020  $§_44_ High  $§_44_ SKU1203  $§_44_ 39  $§_44_ 7.99  $§_44_ 0.04  $§_44_ 5.03  $§_44_ Express Air  $§_44_ Medium Box  $§_44_ 10/01/2020
48704  $§_44_ C438  $§_44_ John  $§_44_ 8/01/2020  $§_44_ High  $§_44_ SKU1154  $§_44_ 11  $§_44_ 125.99  $§_44_ 0.01  $§_44_ 8.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 9/01/2020
51424  $§_44_ C769  $§_44_ Richard  $§_44_ 8/01/2020  $§_44_ Not Specified  $§_44_ SKU856  $§_44_ 48  $§_44_ 2.62  $§_44_ 0.1  $§_44_ 0.8  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 9/01/2020
51424  $§_44_ C769  $§_44_ Bob  $§_44_ 8/01/2020  $§_44_ Not Specified  $§_44_ SKU944  $§_44_ 5  $§_44_ 16.74  $§_44_ 0.05  $§_44_ 7.04  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 10/01/2020
34662  $§_44_ C203  $§_44_ Richard  $§_44_ 9/01/2020  $§_44_ Critical  $§_44_ SKU949  $§_44_ 35  $§_44_ 370.98  $§_44_ 0.09  $§_44_ 99  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 11/01/2020
44033  $§_44_ C437  $§_44_ Bob  $§_44_ 9/01/2020  $§_44_ Critical  $§_44_ SKU221  $§_44_ 45  $§_44_ 124.49  $§_44_ 0.03  $§_44_ 51.94  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 11/01/2020
10053  $§_44_ C182  $§_44_ Bob  $§_44_ 9/01/2020  $§_44_ High  $§_44_ SKU1029  $§_44_ 31  $§_44_ 4.89  $§_44_ 0  $§_44_ 4.93  $§_44_ Regular Air  $§_44_ Small Pack  $§_44_ 12/01/2020
10053  $§_44_ C182  $§_44_ John  $§_44_ 9/01/2020  $§_44_ High  $§_44_ SKU251  $§_44_ 44  $§_44_ 150.98  $§_44_ 0  $§_44_ 39.25  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 11/01/2020
18275  $§_44_ C331  $§_44_ Bob  $§_44_ 9/01/2020  $§_44_ Low  $§_44_ SKU153  $§_44_ 25  $§_44_ 13.4  $§_44_ 0.07  $§_44_ 4.95  $§_44_ Regular Air  $§_44_ Small Pack  $§_44_ 13/01/2020
51970  $§_44_ C027  $§_44_ Richard  $§_44_ 10/01/2020  $§_44_ Not Specified  $§_44_ SKU1108  $§_44_ 1  $§_44_ 115.99  $§_44_ 0.06  $§_44_ 56.14  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 12/01/2020
22663  $§_44_ C489  $§_44_ John  $§_44_ 10/01/2020  $§_44_ Low  $§_44_ SKU051  $§_44_ 35  $§_44_ 280.98  $§_44_ 0.07  $§_44_ 57  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 10/01/2020
22663  $§_44_ C489  $§_44_ John  $§_44_ 10/01/2020  $§_44_ Low  $§_44_ SKU1105  $§_44_ 15  $§_44_ 500.98  $§_44_ 0.08  $§_44_ 28.14  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 15/01/2020
44036  $§_44_ C013  $§_44_ John  $§_44_ 10/01/2020  $§_44_ High  $§_44_ SKU782  $§_44_ 40  $§_44_ 5.84  $§_44_ 0.01  $§_44_ 1.2  $§_44_ Express Air  $§_44_ Wrap Bag  $§_44_ 12/01/2020
59969  $§_44_ C248  $§_44_ John  $§_44_ 10/01/2020  $§_44_ High  $§_44_ SKU469  $§_44_ 42  $§_44_ 9.9  $§_44_ 0.01  $§_44_ 1.39  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
59969  $§_44_ C248  $§_44_ Richard  $§_44_ 10/01/2020  $§_44_ High  $§_44_ SKU927  $§_44_ 16  $§_44_ 15.7  $§_44_ 0  $§_44_ 11.25  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 11/01/2020
54786  $§_44_ C494  $§_44_ Richard  $§_44_ 10/01/2020  $§_44_ Not Specified  $§_44_ SKU961  $§_44_ 30  $§_44_ 13.48  $§_44_ 0.08  $§_44_ 4.51  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
47879  $§_44_ C737  $§_44_ Richard  $§_44_ 10/01/2020  $§_44_ Critical  $§_44_ SKU557  $§_44_ 19  $§_44_ 9.11  $§_44_ 0.08  $§_44_ 2.15  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 11/01/2020
21382  $§_44_ C036  $§_44_ Bob  $§_44_ 11/01/2020  $§_44_ Critical  $§_44_ SKU643  $§_44_ 27  $§_44_ 4.98  $§_44_ 0  $§_44_ 7.44  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 14/01/2020
5382  $§_44_ C540  $§_44_ Bob  $§_44_ 11/01/2020  $§_44_ Low  $§_44_ SKU191  $§_44_ 30  $§_44_ 8.98  $§_44_ 0.05  $§_44_ 4.19  $§_44_ Regular Air  $§_44_ Small Pack  $§_44_ 18/01/2020
7783  $§_44_ C279  $§_44_ John  $§_44_ 11/01/2020  $§_44_ Medium  $§_44_ SKU406  $§_44_ 3  $§_44_ 8.85  $§_44_ 0.03  $§_44_ 5.6  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
21382  $§_44_ C036  $§_44_ Richard  $§_44_ 11/01/2020  $§_44_ Critical  $§_44_ SKU044  $§_44_ 21  $§_44_ 300.98  $§_44_ 0.04  $§_44_ 64.73  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 13/01/2020
21382  $§_44_ C036  $§_44_ Bob  $§_44_ 11/01/2020  $§_44_ Critical  $§_44_ SKU1024  $§_44_ 11  $§_44_ 29.99  $§_44_ 0.08  $§_44_ 5.5  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 13/01/2020
292  $§_44_ C782  $§_44_ Bob  $§_44_ 11/01/2020  $§_44_ High  $§_44_ SKU469  $§_44_ 43  $§_44_ 9.9  $§_44_ 0.08  $§_44_ 1.39  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
28485  $§_44_ C307  $§_44_ Bob  $§_44_ 11/01/2020  $§_44_ High  $§_44_ SKU796  $§_44_ 12  $§_44_ 4.28  $§_44_ 0.07  $§_44_ 0.94  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 11/01/2020
51269  $§_44_ C549  $§_44_ Richard  $§_44_ 11/01/2020  $§_44_ High  $§_44_ SKU371  $§_44_ 2  $§_44_ 8.69  $§_44_ 0  $§_44_ 2.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
51269  $§_44_ C549  $§_44_ Bob  $§_44_ 11/01/2020  $§_44_ Critical  $§_44_ SKU195  $§_44_ 20  $§_44_ 22.98  $§_44_ 0.08  $§_44_ 7.58  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
52068  $§_44_ C610  $§_44_ Richard  $§_44_ 12/01/2020  $§_44_ Not Specified  $§_44_ SKU450  $§_44_ 31  $§_44_ 5.28  $§_44_ 0.04  $§_44_ 2.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 12/01/2020
52068  $§_44_ C610  $§_44_ John  $§_44_ 12/01/2020  $§_44_ Not Specified  $§_44_ SKU1126  $§_44_ 47  $§_44_ 517.48  $§_44_ 0.01  $§_44_ 16.63  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 12/01/2020
52068  $§_44_ C610  $§_44_ Richard  $§_44_ 12/01/2020  $§_44_ Not Specified  $§_44_ SKU014  $§_44_ 21  $§_44_ 58.14  $§_44_ 0.07  $§_44_ 36.61  $§_44_ Delivery Truck  $§_44_ Jumbo Box  $§_44_ 13/01/2020
52068  $§_44_ C610  $§_44_ Richard  $§_44_ 12/01/2020  $§_44_ Not Specified  $§_44_ SKU049  $§_44_ 17  $§_44_ 25.98  $§_44_ 0.07  $§_44_ 14.36  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 14/01/2020
6501  $§_44_ C057  $§_44_ Bob  $§_44_ 12/01/2020  $§_44_ High  $§_44_ SKU719  $§_44_ 35  $§_44_ 6.48  $§_44_ 0.06  $§_44_ 6.74  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 14/01/2020
6501  $§_44_ C057  $§_44_ Richard  $§_44_ 12/01/2020  $§_44_ High  $§_44_ SKU1253  $§_44_ 46  $§_44_ 125.99  $§_44_ 0.09  $§_44_ 7.69  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 14/01/2020
22914  $§_44_ C005  $§_44_ Bob  $§_44_ 12/01/2020  $§_44_ Critical  $§_44_ SKU295  $§_44_ 30  $§_44_ 11.7  $§_44_ 0.07  $§_44_ 6.96  $§_44_ Regular Air  $§_44_ Medium Box  $§_44_ 13/01/2020
36357  $§_44_ C171  $§_44_ Richard  $§_44_ 13/01/2020  $§_44_ Not Specified  $§_44_ SKU1077  $§_44_ 38  $§_44_ 449.99  $§_44_ 0.01  $§_44_ 49  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 14/01/2020
13027  $§_44_ C293  $§_44_ Richard  $§_44_ 14/01/2020  $§_44_ Critical  $§_44_ SKU594  $§_44_ 42  $§_44_ 6.78  $§_44_ 0.03  $§_44_ 6.18  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 16/01/2020
16807  $§_44_ C619  $§_44_ Richard  $§_44_ 14/01/2020  $§_44_ Medium  $§_44_ SKU590  $§_44_ 48  $§_44_ 35.44  $§_44_ 0.08  $§_44_ 4.92  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 15/01/2020
16807  $§_44_ C619  $§_44_ John  $§_44_ 14/01/2020  $§_44_ Medium  $§_44_ SKU569  $§_44_ 30  $§_44_ 7.4  $§_44_ 0.09  $§_44_ 1.71  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 16/01/2020
3685  $§_44_ C548  $§_44_ Bob  $§_44_ 15/01/2020  $§_44_ Medium  $§_44_ SKU804  $§_44_ 29  $§_44_ 3.28  $§_44_ 0  $§_44_ 5  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 16/01/2020
29573  $§_44_ C526  $§_44_ Richard  $§_44_ 15/01/2020  $§_44_ Critical  $§_44_ SKU659  $§_44_ 43  $§_44_ 18.97  $§_44_ 0.05  $§_44_ 9.54  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 17/01/2020
23268  $§_44_ C618  $§_44_ Richard  $§_44_ 15/01/2020  $§_44_ High  $§_44_ SKU657  $§_44_ 5  $§_44_ 48.04  $§_44_ 0.02  $§_44_ 5.79  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 17/01/2020
23268  $§_44_ C618  $§_44_ John  $§_44_ 15/01/2020  $§_44_ High  $§_44_ SKU595  $§_44_ 14  $§_44_ 3.6  $§_44_ 0.09  $§_44_ 2.2  $§_44_ Express Air  $§_44_ Wrap Bag  $§_44_ 17/01/2020
29090  $§_44_ C553  $§_44_ Bob  $§_44_ 15/01/2020  $§_44_ Medium  $§_44_ SKU513  $§_44_ 24  $§_44_ 4.13  $§_44_ 0.02  $§_44_ 0.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 16/01/2020
29090  $§_44_ C553  $§_44_ Richard  $§_44_ 15/01/2020  $§_44_ Medium  $§_44_ SKU957  $§_44_ 36  $§_44_ 10.48  $§_44_ 0.02  $§_44_ 6.91  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 15/01/2020
9632  $§_44_ C034  $§_44_ Richard  $§_44_ 15/01/2020  $§_44_ Low  $§_44_ SKU411  $§_44_ 33  $§_44_ 120.98  $§_44_ 0.09  $§_44_ 9.07  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 19/01/2020
52837  $§_44_ C411  $§_44_ Bob  $§_44_ 17/01/2020  $§_44_ Critical  $§_44_ SKU919  $§_44_ 32  $§_44_ 193.17  $§_44_ 0.08  $§_44_ 19.99  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 19/01/2020
51044  $§_44_ C465  $§_44_ Richard  $§_44_ 17/01/2020  $§_44_ Low  $§_44_ SKU469  $§_44_ 17  $§_44_ 9.9  $§_44_ 0.1  $§_44_ 1.39  $§_44_ Regular Air  $§_44_ Small Box  $§_44_ 17/01/2020
51044  $§_44_ C465  $§_44_ Richard  $§_44_ 17/01/2020  $§_44_ Low  $§_44_ SKU038  $§_44_ 26  $§_44_ 50.98  $§_44_ 0.07  $§_44_ 14.19  $§_44_ Delivery Truck  $§_44_ Jumbo Drum  $§_44_ 21/01/2020
51044  $§_44_ C465  $§_44_ Bob  $§_44_ 17/01/2020  $§_44_ Low  $§_44_ SKU741  $§_44_ 19  $§_44_ 5.84  $§_44_ 0.01  $§_44_ 0.83  $§_44_ Regular Air  $§_44_ Wrap Bag  $§_44_ 24/01/2020
